rel_path,ext,copied,py_entrypoint,size_bytes,mtime,sha1_head2mb,summary,tags
1/core/debug_layers.py,.py,False,False,1335,2026-01-31T08:35:48,b9b526462ce97093d25435579dad74d03b1b6a6d,写一个最小可视化 gpkg，用于验证：GeoPandas + 写入驱动是否正常。,debug
1/core/reporting.py,.py,False,False,496,2026-01-31T08:35:48,df4a17feffcba069eed312ee4eb5ba8dec279c61,from __future__ import annotations,qa
1/core/runmeta.py,.py,False,False,1813,2026-01-31T08:35:48,bb12e2f7095e43e262aff1390f80556d2863d9a6,import json,
1/core/__init__.py,.py,False,False,14,2026-01-31T08:35:48,7f04bd0376f196a75dfbebc205980c7d3029594a,placeholder,
1/core/crs/__init__.py,.py,False,False,14,2026-01-31T08:35:48,7f04bd0376f196a75dfbebc205980c7d3029594a,placeholder,projection
1/core/debug/__init__.py,.py,False,False,14,2026-01-31T08:35:48,7f04bd0376f196a75dfbebc205980c7d3029594a,placeholder,debug
1/core/io/__init__.py,.py,False,False,14,2026-01-31T08:35:48,7f04bd0376f196a75dfbebc205980c7d3029594a,placeholder,
1/core/metrics/__init__.py,.py,False,False,14,2026-01-31T08:35:48,7f04bd0376f196a75dfbebc205980c7d3029594a,placeholder,
1/core/report/__init__.py,.py,False,False,14,2026-01-31T08:35:48,7f04bd0376f196a75dfbebc205980c7d3029594a,placeholder,qa
1/scripts/regression_mini.cmd,.cmd,True,,175,2026-01-31T08:35:48,028ce03d9d4611c7b71a7548d42ea0f6919df348,TODO: 在你实现 regression-mini runner 后，把这里替换为实际入口,script
1/scripts/run_matrix.cmd,.cmd,True,,157,2026-01-31T08:35:48,05be92ebefec0c2b107f765b6124addaa138e64f,TODO: 在你实现 matrix runner 后，把这里替换为实际入口,run|script
1/scripts/run_smoke.py,.py,True,True,1867,2026-01-31T08:35:48,e62148f472b3f7c1d199996331d846468ce5469b,按约定加载 skills/<skill_id>/run.py 并执行 main(run_dir=...)。,qa|run|script
1/scripts/smoke.cmd,.cmd,True,,480,2026-01-31T08:35:48,b71966921275356217fe0d0f7dd2b4c5e2769306,一键 smoke（分钟级）,qa|script
1/skills/__init__.py,.py,False,False,10,2026-01-31T08:35:48,108845ab4b084cf07fcce1055a36618da6de17a5,package,
1/skills/S0_env_doctor/run.py,.py,False,False,3124,2026-01-31T08:35:48,a057312006021993c983699923667aab0f4beab1,环境自检 Skill：生成最小闭环四件套（除 RunMeta 由上层 runner 写入）。,
1/skills/S0_env_doctor/__init__.py,.py,False,False,16,2026-01-31T08:35:48,f0f0f2ec8c08a1b05d3d9e6bf5d6de4534fbb0b6,skill package,
cache/env_open3dis/Lib/site-packages/certifi/core.py,.py,False,False,3394,2026-01-22T16:27:45,b7076f1997872af585dc68bec247e81884fba82b,certifi.py,
cache/env_open3dis/Lib/site-packages/certifi/__init__.py,.py,False,False,94,2026-01-22T16:27:45,f01e53b71e3df500bcdb549509633d62242d53df,"from .core import contents, where",
cache/env_open3dis/Lib/site-packages/certifi/__main__.py,.py,True,True,243,2026-01-22T16:27:45,f09c4ba5e7ee37ddebe914def9d97152cb5eb856,import argparse,
cache/env_open3dis/Lib/site-packages/numpy/conftest.py,.py,False,False,8900,2026-01-22T16:27:43,fdbec8b7c718e9acecc5e1d513b9b8f9e4e24d6e,Pytest configuration and fixtures for the Numpy test suite.,
cache/env_open3dis/Lib/site-packages/numpy/dtypes.py,.py,False,False,1353,2026-01-22T16:27:43,e1aa81d7f901556c3a2e2425aa102fa581180319,This module is home to specific dtypes related functionality and their classes.,
cache/env_open3dis/Lib/site-packages/numpy/exceptions.py,.py,False,False,7955,2026-01-22T16:27:43,46c0dd5bd3bc915933680993f55e090699b0f476,Exceptions and Warnings,
cache/env_open3dis/Lib/site-packages/numpy/matlib.py,.py,False,False,11018,2026-01-22T16:27:43,0e27e13d837e1f0bf6e6911f4b7c9ee65d0c9916,"2018-05-29, PendingDeprecationWarning added to matrix.__new__",
cache/env_open3dis/Lib/site-packages/numpy/version.py,.py,False,False,304,2026-01-22T16:27:43,2ff1e16ddb94c29c961d92c4d928979866c97d67,Module to expose more detailed version info for the installed `numpy`,
cache/env_open3dis/Lib/site-packages/numpy/_array_api_info.py,.py,False,False,10700,2026-01-22T16:27:43,80b356193abbd84341375c89a88c8368c8f5c587,Array API Inspection namespace,
cache/env_open3dis/Lib/site-packages/numpy/_configtool.py,.py,True,True,1046,2026-01-22T16:27:43,d14013c931dc3b1b009164d973ec53e041ab6f90,import argparse,
cache/env_open3dis/Lib/site-packages/numpy/_distributor_init.py,.py,False,False,436,2026-01-22T16:27:43,8f50061119861ef98a917f2885c3ae429e41785c,Distributor init file,
cache/env_open3dis/Lib/site-packages/numpy/_expired_attrs_2_0.py,.py,False,False,3849,2026-01-22T16:27:43,a2f0c10fc2927582339740bf3ed990f2cbcb1ad5,Dict of expired attributes that are discontinued since 2.0 release.,
cache/env_open3dis/Lib/site-packages/numpy/_globals.py,.py,False,False,4276,2026-01-22T16:27:43,817396d331d99e12f2760ebecb2a4b6320b4791d,Module defining global singleton classes.,
cache/env_open3dis/Lib/site-packages/numpy/_pytesttester.py,.py,False,False,6529,2026-01-22T16:27:43,7cf5c7bb4fb658ab3d21dd9104fbd1e9b6bb8e96,Pytest test running.,
cache/env_open3dis/Lib/site-packages/numpy/__config__.py,.py,False,False,5725,2026-01-22T16:27:43,1b8a101ddeea1d0aaa4b8814355a6da8791a742a,Removes empty values in a `dict` recursively,
cache/env_open3dis/Lib/site-packages/numpy/__init__.py,.py,False,False,27212,2026-01-22T16:27:43,7603e5d41590fed23228d5522714ee93579627c2,"""""""",
cache/env_open3dis/Lib/site-packages/numpy/char/__init__.py,.py,False,False,95,2026-01-22T16:27:43,e2708ac575ad1655c471f93a1cf4006563e22486,from numpy._core.defchararray import *,
cache/env_open3dis/Lib/site-packages/numpy/core/arrayprint.py,.py,False,False,349,2026-01-22T16:27:43,c412ae5044e706f1dedac987fcecd2acd6e3b189,def __getattr__(attr_name):,
cache/env_open3dis/Lib/site-packages/numpy/core/defchararray.py,.py,False,False,357,2026-01-22T16:27:43,57e03775705dad579744904c91908d80bd0da65b,def __getattr__(attr_name):,
cache/env_open3dis/Lib/site-packages/numpy/core/einsumfunc.py,.py,False,False,349,2026-01-22T16:27:43,58f48761a08cbca7840a69764de915031bcc6c84,def __getattr__(attr_name):,
cache/env_open3dis/Lib/site-packages/numpy/core/fromnumeric.py,.py,False,False,353,2026-01-22T16:27:43,122320808b38c8755769d7ae47aba54ad0b4fb00,def __getattr__(attr_name):,
